PID,PI_S1_R3_20_5_A,PI_S1_R3_I31_7_A,PI_S1_R3_14_1_A,PI_S1_R2_6_1_E,PI_S1_R2_7_2_E,PI_S1_R2_9_2_E,PI_S1_R3_I23_3_J,PI_S1_R3_I23_3_E,PI_S1_R2_10_1_E,PI_S1_R3_I24_3_E,PI_S1_R3_I26_2_A,PI_S1_R2_13_1_J,PI_S1_R3_3_3_A,PI_S1_R3_I41_2_E,PI_S1_R3_4_2_E,PI_S1_R2_14_1_J,PI_S1_R3_15_2_E,PI_S1_R3_3_2_A,manipulation_check_1,PII_S2_R3_I40_3_E,PII_S2_R3_4_1_A,PII_S2_R3_5_4_E,PII_S2_R3_20_3_E,PII_S2_R3_I33_1_A,PII_S2_R3_17_2_A,PII_S2_R3_22_3_E,PII_S2_R2_8_2_E,PII_S2_R2_21_3_J,PII_S2_R3_13_2_E,PII_S2_R3_I30_2_A,PII_S2_R3_10_3_J,PII_S2_R3_5_7_E,PII_S2_R3_13_2_J,PII_S2_R3_6_2_A,PII_S2_R3_I40_1_A,PII_S2_R3_2_1_A,PII_S2_R3_I23_2_J,manipulation_check_2,PIII_S3_R2_20_1_J,PIII_S3_R3_12_2_E,PIII_S3_R3_I35_2_E,PIII_S3_R3_I32_3_A,PIII_S3_R3_24_3_A,PIII_S3_R2_6_2_E,PIII_S3_R3_I26_1_A,PIII_S3_R3_11_5_A,PIII_S3_R3_I38_4_E,PIII_S3_R3_5_6_E,PIII_S3_R3_19_3_E,PIII_S3_R3_10_3_E,PIII_S3_R3_16_1_A,PIII_S3_R3_6_1_J,PIII_S3_R3_I36_6_A,PIII_S3_R3_5_1_J,PIII_S3_R3_6_2_E,PIII_S3_R3_12_1_J,manipulation_check_3,PII_S3_R2_20_1_J,PII_S3_R3_12_2_E,PII_S3_R3_I35_2_E,PII_S3_R3_I32_3_A,PII_S3_R3_24_3_A,PII_S3_R2_6_2_E,PII_S3_R3_I26_1_A,PII_S3_R3_11_5_A,PII_S3_R3_I38_4_E,PII_S3_R3_5_6_E,PII_S3_R3_19_3_E,PII_S3_R3_10_3_E,PII_S3_R3_16_1_A,PII_S3_R3_6_1_J,PII_S3_R3_I36_6_A,PII_S3_R3_5_1_J,PII_S3_R3_6_2_E,PII_S3_R3_12_1_J,manipulation_check_3,PIII_S2_R3_I40_3_E,PIII_S2_R3_4_1_A,PIII_S2_R3_5_4_E,PIII_S2_R3_20_3_E,PIII_S2_R3_I33_1_A,PIII_S2_R3_17_2_A,PIII_S2_R3_22_3_E,PIII_S2_R2_8_2_E,PIII_S2_R2_21_3_J,PIII_S2_R3_13_2_E,PIII_S2_R3_I30_2_A,PIII_S2_R3_10_3_J,PIII_S2_R3_5_7_E,PIII_S2_R3_13_2_J,PIII_S2_R3_6_2_A,PIII_S2_R3_I40_1_A,PIII_S2_R3_2_1_A,PIII_S2_R3_I23_2_J,manipulation_check_2,PI_S2_R3_I40_3_E,PI_S2_R3_4_1_A,PI_S2_R3_5_4_E,PI_S2_R3_20_3_E,PI_S2_R3_I33_1_A,PI_S2_R3_17_2_A,PI_S2_R3_22_3_E,PI_S2_R2_8_2_E,PI_S2_R2_21_3_J,PI_S2_R3_13_2_E,PI_S2_R3_I30_2_A,PI_S2_R3_10_3_J,PI_S2_R3_5_7_E,PI_S2_R3_13_2_J,PI_S2_R3_6_2_A,PI_S2_R3_I40_1_A,PI_S2_R3_2_1_A,PI_S2_R3_I23_2_J,manipulation_check_2,PII_S1_R3_20_5_A,PII_S1_R3_I31_7_A,PII_S1_R3_14_1_A,PII_S1_R2_6_1_E,PII_S1_R2_7_2_E,PII_S1_R2_9_2_E,PII_S1_R3_I23_3_J,PII_S1_R3_I23_3_E,PII_S1_R2_10_1_E,PII_S1_R3_I24_3_E,PII_S1_R3_I26_2_A,PII_S1_R2_13_1_J,PII_S1_R3_3_3_A,PII_S1_R3_I41_2_E,PII_S1_R3_4_2_E,PII_S1_R2_14_1_J,PII_S1_R3_15_2_E,PII_S1_R3_3_2_A,manipulation_check_1,PIII_S1_R3_20_5_A,PIII_S1_R3_I31_7_A,PIII_S1_R3_14_1_A,PIII_S1_R2_6_1_E,PIII_S1_R2_7_2_E,PIII_S1_R2_9_2_E,PIII_S1_R3_I23_3_J,PIII_S1_R3_I23_3_E,PIII_S1_R2_10_1_E,PIII_S1_R3_I24_3_E,PIII_S1_R3_I26_2_A,PIII_S1_R2_13_1_J,PIII_S1_R3_3_3_A,PIII_S1_R3_I41_2_E,PIII_S1_R3_4_2_E,PIII_S1_R2_14_1_J,PIII_S1_R3_15_2_E,PIII_S1_R3_3_2_A,manipulation_check_1,PI_S3_R2_20_1_J,PI_S3_R3_12_2_E,PI_S3_R3_I35_2_E,PI_S3_R3_I32_3_A,PI_S3_R3_24_3_A,PI_S3_R2_6_2_E,PI_S3_R3_I26_1_A,PI_S3_R3_11_5_A,PI_S3_R3_I38_4_E,PI_S3_R3_5_6_E,PI_S3_R3_19_3_E,PI_S3_R3_10_3_E,PI_S3_R3_16_1_A,PI_S3_R3_6_1_J,PI_S3_R3_I36_6_A,PI_S3_R3_5_1_J,PI_S3_R3_6_2_E,PI_S3_R3_12_1_J,manipulation_check_3,education,field,field_6_TEXT,gender,gender_5_TEXT,birth_year,location,info_search,info_search_service,chatbots,social_orientation_1,social_orientation_2
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,ORIGINAL,,,ORIGINAL,,ORIGINAL,,,TRANSLATED,TRANSLATED,,,,ORIGINAL,TRANSLATED,ORIGINAL,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,ORIGINAL,,,ORIGINAL,,ORIGINAL,,ORIGINAL,,,TRANSLATED,,,ORIGINAL,,ORIGINAL,ORIGINAL,I don't know,ORIGINAL,ORIGINAL,,,ORIGINAL,,,TRANSLATED,,,,ORIGINAL,,TRANSLATED,,TRANSLATED,TRANSLATED,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor's degree in college (4-year),Social & Behavioral Sciences,,Female,,1985,"Spartanburg, SC",Yes,Two,Five or above,Disagree,Somewhat agree
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,,ORIGINAL,,,ORIGINAL,ORIGINAL,,ORIGINAL,TRANSLATED,TRANSLATED,,,,ORIGINAL,TRANSLATED,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,TRANSLATED,ORIGINAL,,TRANSLATED,ORIGINAL,,ORIGINAL,,ORIGINAL,ORIGINAL,,,,,ORIGINAL,,,I don't know,ORIGINAL,,ORIGINAL,,,,,ORIGINAL,TRANSLATED,ORIGINAL,,ORIGINAL,ORIGINAL,,ORIGINAL,,ORIGINAL,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High school graduate (high school diploma or equivalent including GED),STEM,,Male,,1980,"Birmingham, AL",Yes,Two,Five or above,Somewhat disagree,Neither agree nor disagree
63,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,TRANSLATED,ORIGINAL,,ORIGINAL,ORIGINAL,,,,TRANSLATED,,,ORIGINAL,ORIGINAL,,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,,,ORIGINAL,,ORIGINAL,ORIGINAL,ORIGINAL,,,TRANSLATED,ORIGINAL,TRANSLATED,TRANSLATED,I don't know,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,,,,,,TRANSLATED,TRANSLATED,ORIGINAL,,,ORIGINAL,,ORIGINAL,I don't know,High school graduate (high school diploma or equivalent including GED),Other:,GIS Specialist,Female,,1966,"Bedford, PA",Yes,Five or above,Five or above,Agree,Agree
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,TRANSLATED,ORIGINAL,,,ORIGINAL,ORIGINAL,ORIGINAL,,,,ORIGINAL,,,ORIGINAL,TRANSLATED,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,NONE,TRANSLATED,,,,,,,TRANSLATED,ORIGINAL,,ORIGINAL,TRANSLATED,ORIGINAL,TRANSLATED,,,I don't know,,,,ORIGINAL,,,ORIGINAL,ORIGINAL,TRANSLATED,,TRANSLATED,ORIGINAL,ORIGINAL,,,ORIGINAL,,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Associate degree in college (2-year),Health and Biological Sciences,,Female,,1987,New Mexico,No,I have never used assistance services when traveling,Two,Somewhat agree,Somewhat agree
65,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,,TRANSLATED,,ORIGINAL,TRANSLATED,,ORIGINAL,ORIGINAL,,,TRANSLATED,,ORIGINAL,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,ORIGINAL,ORIGINAL,,ORIGINAL,,,ORIGINAL,,,ORIGINAL,,ORIGINAL,ORIGINAL,,ORIGINAL,,I don't know,,,,ORIGINAL,,TRANSLATED,ORIGINAL,,ORIGINAL,ORIGINAL,ORIGINAL,,ORIGINAL,,ORIGINAL,ORIGINAL,,,I don't know,Some college but no degree,STEM,,Female,,1981,"Bucyrus, Ohio",Yes,Two,Five or above,Disagree,Strongly disagree
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,TRANSLATED,,ORIGINAL,,,ORIGINAL,,,,,,,ORIGINAL,TRANSLATED,TRANSLATED,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,TRANSLATED,,TRANSLATED,,,,,TRANSLATED,,TRANSLATED,ORIGINAL,,ORIGINAL,,,ORIGINAL,ORIGINAL,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,TRANSLATED,ORIGINAL,ORIGINAL,,,,,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,,,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,Master's degree,Other:,Business ,Female,,1994,USA,Yes,I have never used assistance services when traveling,Five or above,Somewhat agree,Somewhat agree
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,,,,ORIGINAL,,TRANSLATED,TRANSLATED,,,ORIGINAL,TRANSLATED,TRANSLATED,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,ORIGINAL,,,ORIGINAL,,ORIGINAL,ORIGINAL,,TRANSLATED,,ORIGINAL,,,ORIGINAL,ORIGINAL,,,I don't know,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,,ORIGINAL,,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,,,,,,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor's degree in college (4-year),Arts and Humanities,,Female,,1993,Texas,Yes,I have never used assistance services when traveling,Three,Agree,Agree
68,ORIGINAL,ORIGINAL,,,,ORIGINAL,TRANSLATED,,,ORIGINAL,,,ORIGINAL,,TRANSLATED,TRANSLATED,,ORIGINAL,I don't know,,ORIGINAL,,TRANSLATED,,ORIGINAL,,TRANSLATED,,,,,TRANSLATED,ORIGINAL,TRANSLATED,,ORIGINAL,TRANSLATED,I don't know,,,,TRANSLATED,,TRANSLATED,TRANSLATED,,,,,TRANSLATED,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,TRANSLATED,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Master's degree,Arts and Humanities,,Female,,1986,"Phenix City, AL",Yes,I have never used assistance services when traveling,Two,Disagree,Disagree
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,TRANSLATED,ORIGINAL,ORIGINAL,,,,,ORIGINAL,,,ORIGINAL,TRANSLATED,,ORIGINAL,,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,ORIGINAL,,,TRANSLATED,,,ORIGINAL,,TRANSLATED,,,,ORIGINAL,ORIGINAL,TRANSLATED,,I don't know,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,,ORIGINAL,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,,TRANSLATED,ORIGINAL,,TRANSLATED,,I don't know,,,,,,,,,,,,,,,,,,,,Some college but no degree,"Law, Economics, and Management",,Male,,2001,Georgia ,Yes,I have never used assistance services when traveling,I have never interacted with chatbots,Neither agree nor disagree,Neither agree nor disagree
70,,,,,,,,,,,,,,,,,,,,,ORIGINAL,TRANSLATED,ORIGINAL,ORIGINAL,,,ORIGINAL,TRANSLATED,,ORIGINAL,ORIGINAL,,,,ORIGINAL,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,ORIGINAL,TRANSLATED,,ORIGINAL,ORIGINAL,,,,ORIGINAL,,,ORIGINAL,,,ORIGINAL,,ORIGINAL,I don't know,,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,TRANSLATED,,,,,ORIGINAL,,TRANSLATED,ORIGINAL,,ORIGINAL,,I don't know,Master's degree,Arts and Humanities,,Female,,1990,U.S.A,Yes,,Five or above,Disagree,Disagree
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,ORIGINAL,,,TRANSLATED,ORIGINAL,TRANSLATED,,,TRANSLATED,ORIGINAL,,,ORIGINAL,,ORIGINAL,,,I don't know,,,,,,,,,,,,,,,,,,,,ORIGINAL,,TRANSLATED,,ORIGINAL,TRANSLATED,ORIGINAL,,,TRANSLATED,,,ORIGINAL,,ORIGINAL,,ORIGINAL,,I don't know,,,,,,,,,,,,,,,,,,,,TRANSLATED,,TRANSLATED,,,,,ORIGINAL,NONE,TRANSLATED,ORIGINAL,,ORIGINAL,,,ORIGINAL,,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,Bachelor's degree in college (4-year),Social & Behavioral Sciences,,Female,,1976,Bowling Green KY,Yes,I have never used assistance services when traveling,I have never interacted with chatbots,Somewhat agree,Neither agree nor disagree
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,TRANSLATED,ORIGINAL,ORIGINAL,ORIGINAL,,TRANSLATED,,ORIGINAL,TRANSLATED,ORIGINAL,,I don't know,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,ORIGINAL,,TRANSLATED,,,ORIGINAL,,ORIGINAL,,ORIGINAL,ORIGINAL,,,ORIGINAL,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,ORIGINAL,ORIGINAL,ORIGINAL,,,ORIGINAL,,ORIGINAL,ORIGINAL,ORIGINAL,,,ORIGINAL,,,I don't know,,,,,,,,,,,,,,,,,,,,Master's degree,STEM,,Female,,1983,"Pittsburgh, PA",Yes,Two,Five or above,Neither agree nor disagree,Neither agree nor disagree
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,ORIGINAL,,,TRANSLATED,ORIGINAL,ORIGINAL,,,TRANSLATED,ORIGINAL,TRANSLATED,,,TRANSLATED,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,TRANSLATED,,ORIGINAL,,TRANSLATED,,,TRANSLATED,,ORIGINAL,,ORIGINAL,,ORIGINAL,ORIGINAL,,,I don't know,,,TRANSLATED,ORIGINAL,,ORIGINAL,TRANSLATED,,TRANSLATED,,,,ORIGINAL,TRANSLATED,,ORIGINAL,,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor's degree in college (4-year),STEM,,Male,,1989,"Bronx, NY",Yes,I have never used assistance services when traveling,Three,Somewhat disagree,Somewhat agree
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,,ORIGINAL,ORIGINAL,TRANSLATED,TRANSLATED,,,ORIGINAL,,,ORIGINAL,,,ORIGINAL,,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,TRANSLATED,ORIGINAL,,TRANSLATED,,,TRANSLATED,,,,ORIGINAL,ORIGINAL,ORIGINAL,TRANSLATED,I don't know,,,,ORIGINAL,,ORIGINAL,TRANSLATED,ORIGINAL,,ORIGINAL,,,ORIGINAL,,,ORIGINAL,TRANSLATED,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some college but no degree,Social & Behavioral Sciences,,Female,,1999,"Breinigsville, Pennsylvania",Yes,I have never used assistance services when traveling,One,Somewhat disagree,Somewhat agree
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,TRANSLATED,,,,,TRANSLATED,,ORIGINAL,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,TRANSLATED,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,,,TRANSLATED,,,,,ORIGINAL,TRANSLATED,I don't know,,ORIGINAL,TRANSLATED,,ORIGINAL,,,TRANSLATED,,,ORIGINAL,,ORIGINAL,TRANSLATED,TRANSLATED,TRANSLATED,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor's degree in college (4-year),Health and Biological Sciences,,Female,,1985,New York ,Yes,I have never used assistance services when traveling,One,Somewhat agree,Agree
76,,ORIGINAL,,,ORIGINAL,TRANSLATED,,,TRANSLATED,,TRANSLATED,TRANSLATED,ORIGINAL,TRANSLATED,,,ORIGINAL,,I don't know,ORIGINAL,,TRANSLATED,,ORIGINAL,,ORIGINAL,ORIGINAL,,,,ORIGINAL,ORIGINAL,,TRANSLATED,,ORIGINAL,,I don't know,,ORIGINAL,TRANSLATED,,,,,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,,TRANSLATED,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Master's degree,Health and Biological Sciences,,Male,,1976,"Seminole, Florida",Yes,Five or above,Five or above,Strongly Agree,Somewhat agree
77,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,TRANSLATED,ORIGINAL,ORIGINAL,,ORIGINAL,,ORIGINAL,,,ORIGINAL,,,,ORIGINAL,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,TRANSLATED,ORIGINAL,TRANSLATED,,ORIGINAL,ORIGINAL,ORIGINAL,,TRANSLATED,,,,ORIGINAL,,I don't know,,TRANSLATED,,,,,TRANSLATED,,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,,ORIGINAL,TRANSLATED,,TRANSLATED,I don't know,Bachelor's degree in college (4-year),"Law, Economics, and Management",,Male,,1962,"Erin, Tennessee",Yes,I have never used assistance services when traveling,I have never interacted with chatbots,Disagree,Disagree
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,,,,TRANSLATED,ORIGINAL,,TRANSLATED,ORIGINAL,,TRANSLATED,ORIGINAL,ORIGINAL,TRANSLATED,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,ORIGINAL,,,ORIGINAL,ORIGINAL,,TRANSLATED,,,ORIGINAL,ORIGINAL,ORIGINAL,,ORIGINAL,,I don't know,ORIGINAL,,,,,,,,TRANSLATED,TRANSLATED,,ORIGINAL,ORIGINAL,ORIGINAL,TRANSLATED,,ORIGINAL,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doctoral degree,STEM,,Male,,1971,Kingston RI,Yes,Five or above,,Strongly disagree,Strongly disagree
79,ORIGINAL,,ORIGINAL,,,,TRANSLATED,,TRANSLATED,,,,ORIGINAL,ORIGINAL,,TRANSLATED,ORIGINAL,ORIGINAL,I don't know,ORIGINAL,TRANSLATED,,TRANSLATED,ORIGINAL,,ORIGINAL,,,,,TRANSLATED,ORIGINAL,,ORIGINAL,,,TRANSLATED,I don't know,,,,ORIGINAL,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,TRANSLATED,,,ORIGINAL,ORIGINAL,,,,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor's degree in college (4-year),STEM,,Female,,1992,"Jacksonville, Florida ",Yes,Three,,Somewhat disagree,Neither agree nor disagree
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,ORIGINAL,,ORIGINAL,TRANSLATED,,,,,,TRANSLATED,,TRANSLATED,,ORIGINAL,TRANSLATED,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,,ORIGINAL,TRANSLATED,ORIGINAL,,ORIGINAL,,,ORIGINAL,,TRANSLATED,TRANSLATED,ORIGINAL,,,I don't know,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,,,,ORIGINAL,TRANSLATED,,TRANSLATED,,,ORIGINAL,,,TRANSLATED,,TRANSLATED,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,High school graduate (high school diploma or equivalent including GED),Arts and Humanities,,Non-binary,,2000,Asheville North Carolina,No,One,Five or above,Somewhat agree,Somewhat agree
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,ORIGINAL,TRANSLATED,,,,ORIGINAL,ORIGINAL,,,,TRANSLATED,ORIGINAL,,ORIGINAL,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,,TRANSLATED,,,,ORIGINAL,TRANSLATED,ORIGINAL,TRANSLATED,,ORIGINAL,TRANSLATED,,,ORIGINAL,I don't know,TRANSLATED,TRANSLATED,,,TRANSLATED,,,TRANSLATED,,ORIGINAL,TRANSLATED,TRANSLATED,,,TRANSLATED,,TRANSLATED,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some college but no degree,STEM,,Male,,1996,Tallahassee/Florida,,I have never used assistance services when traveling,Three,Strongly disagree,Somewhat disagree
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,,,ORIGINAL,,,ORIGINAL,ORIGINAL,,,,ORIGINAL,,,ORIGINAL,ORIGINAL,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,TRANSLATED,,ORIGINAL,ORIGINAL,,,,ORIGINAL,,,,ORIGINAL,TRANSLATED,,TRANSLATED,,I don't know,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,ORIGINAL,ORIGINAL,ORIGINAL,TRANSLATED,ORIGINAL,,ORIGINAL,TRANSLATED,,,,,,TRANSLATED,,I don't know,Master's degree,Other:,Both STEM and Arts (am more Arts focused as of now),Female,,1987,"I grew up in Portland, Oregon, but currently live in Hamilton, Ontario",Yes,Two,Three,Neither agree nor disagree,Somewhat disagree
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,TRANSLATED,,ORIGINAL,,ORIGINAL,ORIGINAL,,,,,,ORIGINAL,,TRANSLATED,TRANSLATED,ORIGINAL,,I don't know,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,ORIGINAL,,,,TRANSLATED,,ORIGINAL,,ORIGINAL,ORIGINAL,ORIGINAL,,TRANSLATED,,,,I don't know,,,,,,,,,,,,,,,,,,,,TRANSLATED,,,TRANSLATED,,,,TRANSLATED,ORIGINAL,,TRANSLATED,TRANSLATED,,ORIGINAL,,,TRANSLATED,ORIGINAL,I don't know,Some college but no degree,Other:,Customer Service,Male,,1991,las vegas nevada united states,Yes,Five or above,Five or above,Agree,Agree
84,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,,NONE,ORIGINAL,,ORIGINAL,,ORIGINAL,,ORIGINAL,ORIGINAL,,,TRANSLATED,,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,TRANSLATED,ORIGINAL,,,ORIGINAL,TRANSLATED,,,,,,TRANSLATED,ORIGINAL,ORIGINAL,ORIGINAL,,,I don't know,TRANSLATED,,ORIGINAL,,,,,,ORIGINAL,,,TRANSLATED,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,,ORIGINAL,I don't know,Bachelor's degree in college (4-year),STEM,,Male,,1970,washington,Yes,Three,,Neither agree nor disagree,Somewhat agree
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,,TRANSLATED,TRANSLATED,ORIGINAL,,ORIGINAL,,ORIGINAL,,,ORIGINAL,,ORIGINAL,,,I don't know,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,,ORIGINAL,ORIGINAL,,,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,,,,I don't know,,,,,,,,,,,,,,,,,,,,,ORIGINAL,TRANSLATED,,ORIGINAL,ORIGINAL,ORIGINAL,,,ORIGINAL,,,TRANSLATED,,ORIGINAL,TRANSLATED,,,I don't know,High school graduate (high school diploma or equivalent including GED),Arts and Humanities,,Male,,2001,U.S.A.,Yes,I have never used assistance services when traveling,Two,Somewhat disagree,Strongly disagree
